age,sex,income,employment_duration_years,loan_amount,purpose,existing_debt,credit_history_years,credit_limit,credit_used,late_payments_last_2y,num_open_accounts,checking_balance,savings_balance,target
24,female,56087.63,3.89,28070.04,furniture,9154.54,1.91,15967.8,7999.9,1,10,6640.56,7034.3,0
30,male,65321.5,10.96,4324.58,other,9806.81,5.65,22719.11,10425.29,0,1,4704.13,0.0,1
22,female,42948.95,1.27,17993.78,business,16573.6,2.0,7989.18,5377.21,2,3,1756.81,0.0,0
38,female,29877.18,9.84,500.0,other,5944.0,8.54,8107.12,2273.93,0,11,3402.88,2345.99,0
34,female,30159.34,3.46,4557.88,electronics,7277.26,0.57,14337.56,4904.85,1,7,4223.01,9744.3,0
27,female,56710.67,3.64,24130.95,business,10898.5,0.74,11075.75,696.9,2,1,-2010.94,5398.58,0
58,male,58378.58,3.38,9912.8,furniture,10131.84,29.23,27358.15,12061.21,1,10,7033.48,2759.59,0
20,female,54776.78,3.74,18719.38,education,9289.09,12.02,27261.52,9766.57,5,4,3449.78,12233.2,0
45,female,33020.83,1.22,13895.64,electronics,7595.02,2.46,3987.69,2129.82,0,8,-112.31,0.0,1
35,female,49178.9,1.94,11160.33,car,2383.05,0.91,15370.95,2491.92,0,8,-1289.77,0.0,0
55,female,47100.34,8.14,22910.8,education,13791.79,5.4,7947.13,5980.87,1,5,4961.29,0.0,1
37,female,48936.39,1.43,10106.73,education,7519.11,0.65,17063.42,13045.84,1,5,2633.48,11249.86,1
44,female,60685.72,11.84,500.0,furniture,2192.98,0.35,30089.01,7796.8,1,7,3447.8,3419.64,0
64,female,49024.72,1.8,5574.08,electronics,3562.97,3.67,22490.21,2494.66,0,5,2079.99,9797.75,1
26,female,57220.44,3.28,16409.53,car,4378.61,6.76,26890.14,8170.41,1,2,-1008.23,3344.45,0
42,male,46216.42,5.53,15164.07,business,1963.59,1.61,8565.75,5809.94,0,8,3525.85,10139.1,1
50,female,50204.15,11.58,500.0,electronics,8137.96,2.44,15911.09,10678.8,0,8,1407.39,3239.49,1
59,female,56363.19,0.37,6205.26,car,11118.87,22.31,10930.65,7486.11,1,7,1934.93,6459.47,1
48,male,18771.2,7.7,7346.23,education,2135.65,7.31,8630.43,5840.54,1,9,9131.01,5581.08,1
59,female,39245.92,4.25,9076.24,medical,4441.55,19.9,6925.4,1078.66,0,6,4607.21,6026.24,0
63,female,36533.29,2.49,992.69,other,2265.51,7.72,5903.18,759.02,2,11,4780.29,14108.42,0
62,female,33500.2,2.69,6973.03,other,6911.12,4.77,3513.0,709.92,0,10,10161.57,0.0,0
53,male,40047.44,0.52,6171.12,furniture,12256.51,1.32,6919.36,4076.35,3,11,3153.72,3589.7,1
70,male,71908.94,0.99,18172.27,furniture,7883.32,0.15,12649.15,7542.53,0,2,2359.12,5187.92,1
19,female,29415.04,0.9,18472.97,other,3238.82,4.05,3853.25,2034.19,0,2,-37.62,4289.72,0
46,female,62429.01,1.46,10833.52,business,14853.92,16.09,27911.79,10853.85,2,6,642.34,1612.69,0
63,male,14708.34,4.55,8863.68,education,2445.21,1.2,6059.82,590.02,0,8,-4141.31,791.7,1
23,female,38972.07,4.8,13119.39,medical,3719.93,1.06,7864.28,1951.23,0,3,4371.27,13180.09,1
64,male,47929.56,6.05,5467.4,car,7802.01,8.75,19809.43,10029.39,0,2,-1800.76,3575.67,0
20,female,55552.0,7.57,2825.34,education,2772.18,0.61,14936.03,3265.07,1,1,4708.21,18627.68,0
62,female,57802.08,2.33,4478.23,business,6423.79,1.35,23710.88,6388.21,0,7,1870.92,7169.65,1
28,female,59280.25,13.55,6921.49,other,6735.57,11.77,13587.21,6885.52,0,11,2384.18,2262.07,0
56,male,38722.95,0.03,2692.21,education,7456.85,1.28,12618.33,5913.34,0,6,1872.9,7316.07,0
65,male,36677.67,5.06,13296.48,education,10107.1,10.73,9266.4,4388.04,1,9,6158.22,4653.6,1
64,male,60443.57,3.99,17837.73,medical,12399.04,6.82,10581.87,4741.91,2,1,5628.33,12052.0,1
50,female,41556.52,0.48,500.0,furniture,6163.14,17.32,13890.4,5843.48,1,3,1913.33,0.0,0
69,female,22037.65,8.89,12201.03,car,3862.73,6.79,8822.38,5861.59,1,8,-697.01,0.0,1
25,female,24600.83,7.37,10240.51,education,2294.21,0.66,9870.91,2257.83,1,5,4771.67,6165.89,0
31,female,28449.86,11.04,14732.07,business,6076.5,23.06,6899.54,2620.23,0,1,-923.72,9014.18,1
25,female,53948.89,0.74,11896.49,education,17978.75,0.68,16588.46,3422.37,0,3,-2664.58,5715.43,1
59,female,47563.66,0.87,500.0,business,7298.56,3.35,19287.61,1523.82,1,9,3495.05,8034.85,0
68,male,57428.74,2.47,1900.89,furniture,12562.26,7.78,6994.76,2436.14,0,8,5655.47,7152.62,0
71,male,37309.45,0.5,12235.39,car,3333.54,2.65,4803.79,4592.63,0,9,784.74,0.0,0
47,female,47853.71,2.4,20230.25,medical,10271.39,1.63,11986.83,4510.23,0,4,3213.55,5687.44,0
25,male,56260.63,4.9,500.0,medical,14235.86,6.55,10655.12,2999.07,0,11,752.98,11900.68,1
27,female,39431.76,1.42,14765.81,business,8226.74,0.91,9852.36,2274.92,1,11,4165.98,5030.6,1
53,female,53221.95,4.88,21516.98,electronics,15179.65,0.47,7318.08,5465.37,4,5,5285.09,0.0,1
69,male,33085.33,1.21,10775.79,electronics,8280.71,3.14,11143.25,3222.72,1,3,1211.4,1996.86,0
74,female,38465.03,1.46,16401.62,education,8132.82,21.22,14181.91,10360.68,0,11,-1082.81,7340.54,0
59,female,38128.72,12.5,6375.45,electronics,6817.13,6.51,15889.62,5755.42,0,4,-2371.09,14773.78,0
68,female,23474.89,0.02,11045.07,furniture,4168.26,1.22,8455.87,901.21,2,6,4777.07,0.0,1
45,female,53765.5,5.68,500.0,electronics,6012.59,13.87,13901.21,7080.42,1,11,-1409.7,6167.39,0
29,male,36550.76,3.03,500.0,electronics,1040.04,0.57,17324.01,3110.19,0,3,3116.07,0.0,0
44,female,45224.89,2.68,19542.13,education,11097.17,18.59,17661.8,2429.58,0,10,4332.22,7046.36,0
23,female,53653.44,1.14,4120.04,electronics,12630.9,5.83,16690.11,7754.14,1,2,496.09,7526.99,1
56,female,53037.56,3.98,8355.78,education,13369.58,0.5,9692.09,3823.04,0,4,1501.37,2601.12,1
36,female,56976.93,1.66,908.46,medical,195.99,8.19,20488.33,7918.87,0,5,4997.13,7789.6,0
37,male,43227.26,1.47,720.24,electronics,3315.82,5.04,14554.11,6684.99,2,6,-424.58,10839.37,0
18,female,37380.63,1.48,10609.3,car,5668.89,4.6,13955.39,4079.02,2,3,-729.13,3012.57,1
74,female,43565.07,1.28,6163.38,medical,6316.8,4.81,17968.41,9115.38,0,10,1296.83,0.0,0
42,female,14627.98,0.2,15023.77,furniture,3400.64,3.89,6816.93,1687.89,1,8,5833.74,12553.44,0
62,female,18951.98,16.32,15620.31,other,2411.79,3.23,9089.8,4674.32,0,8,6832.19,8972.17,0
47,female,21191.41,1.47,14566.8,education,1526.22,15.97,7460.95,4897.08,3,9,1703.65,7382.54,1
54,female,27049.56,3.04,13908.81,education,8886.78,2.55,13156.43,4894.6,0,8,-136.36,0.0,1
44,male,52195.94,3.72,24622.15,electronics,13879.57,9.63,24248.61,14097.03,1,8,5192.34,9912.62,0
57,male,28701.38,0.37,3459.25,business,2867.29,13.15,2900.15,955.01,1,8,-3007.89,16254.55,0
29,female,38193.07,13.05,11560.52,business,10555.79,13.99,13560.34,6911.91,0,8,2742.83,3272.14,0
74,male,68386.11,1.92,21061.52,other,16606.84,5.52,11720.54,5833.76,0,11,1868.26,4566.96,1
42,male,38587.25,0.78,22116.32,car,1289.06,4.92,8414.99,1280.1,1,3,5881.48,0.0,0
18,male,58275.28,0.84,625.89,furniture,6131.27,3.15,12762.29,7687.25,1,6,6185.06,0.0,1
72,female,28194.88,1.95,9501.16,furniture,3575.34,1.11,8268.2,4570.01,0,3,-827.59,0.0,0
19,female,41302.12,2.54,22864.97,furniture,10125.75,8.09,4309.73,631.66,1,2,2503.03,4784.94,1
44,male,27899.6,1.73,16064.63,other,4487.82,6.87,5421.41,1037.74,2,11,288.19,1955.33,1
62,female,38897.4,0.47,13562.1,car,4328.98,2.58,4342.83,1445.44,0,6,1120.02,6236.8,0
39,female,60125.55,0.18,10258.52,car,6520.18,0.39,21658.63,6385.52,2,8,3852.16,0.0,0
29,female,13908.23,5.76,8929.59,education,2869.08,0.59,6338.19,3629.35,1,9,995.32,2994.66,0
31,female,52819.63,6.66,14305.75,furniture,6033.35,3.69,26363.09,9182.91,1,1,2581.78,0.0,1
57,female,49279.24,0.54,9981.01,electronics,16116.94,4.08,13769.74,4727.6,3,6,4871.82,5125.43,0
50,male,34305.3,3.97,11659.37,business,9909.21,5.6,7000.22,1346.62,1,2,6545.49,0.0,0
46,male,18970.96,5.37,12628.79,education,3931.31,1.68,8370.77,1456.44,1,4,2866.04,4909.47,1
47,male,46298.33,8.09,6575.43,other,11007.13,10.91,6725.45,1150.89,1,3,2353.3,2327.62,0
36,male,35469.13,8.84,16257.03,education,6852.62,3.64,17369.08,4434.24,2,8,-1321.87,5085.78,0
71,female,49188.17,2.57,35313.96,other,12766.26,3.39,18983.44,4691.36,1,2,6757.4,0.0,0
31,female,45393.34,2.32,500.0,furniture,6095.39,5.68,13689.44,5216.41,0,5,3487.1,7928.29,1
65,female,73832.02,5.54,14592.1,furniture,29847.03,6.03,10237.56,4241.71,0,4,2408.68,2207.54,1
62,male,40691.6,3.47,5918.48,electronics,14585.21,10.02,4365.33,3019.91,1,11,2255.15,5302.68,1
18,female,26577.05,0.89,16619.22,car,309.28,0.47,8446.53,308.99,0,9,3081.96,0.0,0
27,female,48226.96,0.04,12372.46,car,3885.31,6.66,12806.2,606.84,0,4,4315.37,0.0,0
49,male,48959.94,9.29,18094.84,electronics,9486.18,5.01,21398.72,5962.5,3,4,4686.65,1659.08,0
27,female,69465.38,1.51,21404.05,education,17333.3,14.97,24793.73,6123.42,2,8,6832.41,12253.0,1
66,male,60032.0,1.32,13539.37,furniture,4857.42,3.13,16374.24,12240.37,2,7,2728.07,7163.63,1
43,male,51423.68,9.7,21056.42,furniture,13665.81,6.53,9791.21,4251.77,0,7,7262.6,4779.25,1
65,male,71339.45,2.57,500.0,car,7775.17,13.34,20843.17,5656.17,2,1,5173.17,0.0,0
24,female,23602.27,0.63,24723.62,car,4324.16,13.71,3899.04,1484.25,4,1,1819.61,0.0,1
19,male,33484.47,6.79,15000.5,other,5967.01,3.9,12282.27,7175.06,1,7,-3002.12,5659.93,1
54,female,28321.63,0.35,20622.75,car,2583.09,0.54,9694.26,3296.11,4,6,2256.69,8204.14,0
63,male,37983.42,15.01,2240.99,business,7520.99,4.67,16106.06,9102.84,0,10,6675.43,5253.84,0
74,female,20219.65,3.12,5353.84,medical,2203.19,4.72,5657.69,1813.68,0,1,-325.79,14257.34,0
62,male,56432.72,5.75,13167.51,furniture,3977.12,14.5,11933.23,5677.78,0,3,2247.39,0.0,1
60,female,40999.99,4.64,11863.7,furniture,965.14,5.5,17816.88,8722.17,2,9,2495.66,5076.22,0
21,female,18525.49,2.81,14264.55,electronics,4546.78,3.94,6972.97,3419.43,0,11,4826.38,0.0,0
52,female,26719.58,2.46,20676.12,business,5128.09,11.17,10225.15,712.17,1,9,836.57,5266.27,1
58,male,50643.25,3.4,500.0,car,9269.29,9.84,15761.89,7908.25,3,1,-608.15,12816.24,0
40,female,60086.28,1.22,19790.55,medical,4660.57,8.84,27062.35,5458.45,0,1,3710.01,0.0,0
74,male,80941.16,4.39,12066.26,electronics,10233.13,0.15,15468.94,3340.51,0,10,-230.16,9052.79,0
74,male,97449.52,0.8,10369.75,education,19131.67,1.19,25402.83,7301.03,2,6,-3506.52,12646.24,1
66,female,52459.37,0.92,500.0,other,5952.46,2.77,21953.88,6813.55,0,6,7521.12,0.0,1
68,female,27188.31,4.28,16024.39,car,8672.64,2.64,4164.82,2109.35,1,11,4781.09,6801.64,1
50,male,8000.0,8.06,500.0,other,1892.36,21.03,3385.95,435.34,0,3,7650.16,13477.79,0
64,female,49818.81,7.09,17187.15,business,8096.53,15.24,12008.23,9003.14,1,4,4622.04,5382.85,0
22,female,30367.06,0.58,500.0,electronics,5886.19,2.39,4561.18,1779.43,0,8,4041.09,8720.29,0
31,female,37523.57,1.6,12427.66,car,10160.86,0.45,4940.35,2817.24,0,10,3108.61,0.0,1
55,male,33982.26,13.3,11046.65,car,11591.73,15.36,14857.43,1930.29,0,5,1441.92,7582.82,0
25,male,42465.76,5.58,21356.31,medical,13650.62,0.61,17472.38,2298.16,0,2,3536.32,7103.43,0
64,male,64187.64,8.23,10570.76,electronics,4380.62,2.09,13814.24,5398.31,1,1,340.3,0.0,0
28,male,47826.87,3.23,6446.89,medical,4517.68,3.25,7008.78,6452.2,0,1,-1207.69,0.0,0
37,male,42144.57,10.04,7947.18,medical,2774.67,0.59,8382.29,5850.37,2,5,1003.32,7624.01,1
32,female,26358.23,0.69,22183.06,electronics,6260.68,4.47,4881.41,3981.98,0,6,5874.48,2183.73,1
48,male,14855.71,1.89,16290.38,electronics,4351.21,7.8,5841.59,2448.5,3,6,-1697.22,10671.63,1
22,female,36246.46,7.44,8914.96,furniture,4073.34,4.26,6750.01,512.11,1,3,-1649.55,5864.36,0
64,male,44031.91,1.63,10108.43,business,5644.67,5.21,8209.28,1834.29,0,8,3773.93,4338.73,0
68,female,76822.74,2.65,500.0,business,8385.04,9.72,8673.84,2012.77,2,10,754.76,2977.31,0
60,female,47344.94,1.68,15107.79,electronics,3352.71,11.19,16037.81,5041.49,0,3,3456.49,5756.09,0
28,male,62689.31,1.24,500.0,education,25076.64,0.01,23545.59,12186.95,1,8,4969.57,8817.59,0
34,male,36012.68,7.59,18014.37,education,5465.76,8.44,13014.84,3292.81,0,6,3384.6,7203.1,0
30,female,23671.01,2.3,13028.97,furniture,5484.29,3.38,7750.83,2441.31,0,8,103.26,1461.95,1
52,male,27627.9,3.53,31095.61,education,10543.13,14.87,13439.04,8419.26,0,1,5848.8,11436.62,1
68,female,31945.93,4.52,3198.92,medical,11284.97,3.95,9235.42,5711.43,1,8,4226.37,7946.17,1
68,female,83312.46,1.38,11178.7,other,4625.88,1.48,36995.28,17704.1,1,9,2080.48,6311.4,1
72,female,30215.04,1.44,26386.3,electronics,4505.81,4.23,10829.19,7085.42,0,8,1935.25,4550.18,1
57,female,60092.81,7.12,21531.12,furniture,12159.68,23.23,8032.29,4325.98,1,10,3121.98,7000.3,0
30,female,28747.31,4.42,6430.3,other,9372.14,6.6,12189.88,8472.97,3,9,1064.05,0.0,1
40,female,61768.31,3.35,13791.74,other,10901.46,12.68,20615.51,5653.4,2,11,-2893.61,5447.86,0
34,male,51929.12,0.18,12015.99,medical,3565.1,1.91,18767.72,9221.55,0,8,4250.47,13841.1,0
21,female,42180.52,3.81,14255.65,electronics,6041.0,2.93,7258.89,3590.94,0,5,4072.23,5319.92,0
63,female,44266.27,1.31,6410.56,furniture,526.68,5.15,12173.05,4822.39,0,10,-4903.2,4500.86,0
50,male,33213.82,8.36,11285.44,business,6939.21,12.6,15020.39,6166.57,0,8,3532.03,424.69,0
73,male,53029.3,0.93,500.0,furniture,12704.71,2.46,9872.6,6474.65,2,7,7269.45,6956.36,0
65,male,36810.3,7.26,13080.99,medical,5850.47,3.87,3682.87,948.24,2,7,-1382.92,2829.55,0
55,female,22939.1,6.13,15600.17,electronics,6563.68,0.05,4656.72,1388.86,2,4,1780.13,11855.8,1
20,male,21997.12,7.43,10180.64,electronics,1728.08,1.89,6489.52,3808.97,0,7,1454.05,0.0,1
43,male,48106.58,10.93,500.0,medical,10686.47,19.67,20614.21,9643.65,0,6,6981.24,1286.17,1
45,male,73423.64,2.91,19908.25,electronics,8512.86,6.66,26235.47,15278.15,1,2,5362.84,394.73,0
56,female,47879.85,7.02,14916.2,car,5329.66,20.01,22389.83,4212.47,0,5,-635.25,15007.47,0
50,male,42864.51,8.49,6191.88,medical,4511.63,10.56,12097.47,1985.07,0,11,3026.36,2861.41,0
62,male,50144.87,6.69,9755.2,electronics,11075.23,14.06,12853.44,6599.33,1,4,8908.02,711.54,1
19,female,68508.03,1.54,500.0,business,12475.7,1.69,13192.41,2579.97,1,8,125.88,0.0,1
24,male,48948.89,1.96,3796.72,business,8319.86,34.55,9164.45,3228.51,2,5,1966.54,0.0,0
72,male,37603.31,10.6,7697.51,car,9105.23,3.7,14832.4,8493.57,0,4,3540.52,7167.31,0
42,female,64913.2,3.9,21827.37,car,9349.42,6.77,8577.87,3720.71,0,5,169.84,7143.25,0
64,male,52717.62,8.36,6883.97,medical,7775.9,11.0,10389.87,2537.63,2,11,7289.61,92.78,1
66,male,72643.61,0.87,17121.71,car,24019.83,7.83,33006.21,13928.32,2,2,582.0,426.06,0
24,female,48298.22,2.64,7693.47,electronics,3572.54,0.66,15975.52,10885.91,2,8,-2167.11,15159.23,0
58,male,22959.56,3.94,13983.58,medical,2095.47,4.86,2723.81,1100.97,0,10,425.05,20178.28,0
27,male,20373.13,6.92,10868.84,furniture,6557.34,18.5,7776.47,331.51,0,3,3959.06,10898.64,0
26,female,74716.7,2.8,18984.45,education,19580.17,18.2,22614.72,8726.14,0,9,-394.52,13355.68,0
31,female,76025.98,3.34,7721.51,car,9598.96,7.29,33588.94,14261.37,0,8,2906.6,14628.55,1
61,male,41768.65,3.65,500.0,education,4452.99,3.91,15578.6,8631.28,0,4,3687.65,17287.43,1
23,female,38102.63,2.45,944.41,business,4237.19,5.28,3878.03,2060.51,1,2,-1626.8,2188.43,1
56,female,71306.0,3.56,7744.98,furniture,19526.28,2.0,12998.77,6465.79,0,11,308.89,0.0,0
39,female,25073.18,1.68,2007.52,furniture,3517.07,1.55,5094.51,2226.38,1,3,3046.91,15000.94,0
33,female,28894.91,4.05,15281.7,education,2466.94,10.47,11005.87,1947.09,0,11,4107.24,0.0,0
31,female,56579.88,4.91,8273.85,medical,14618.69,1.79,17184.76,3363.89,2,8,383.65,0.0,0
37,male,37897.11,4.8,30996.85,education,2651.92,5.92,15120.15,5415.31,4,10,2455.32,0.0,0
37,female,44907.81,0.3,500.0,business,6023.47,21.67,13703.48,1208.5,0,4,1148.19,3211.62,0
35,male,42058.03,0.09,13629.07,electronics,12296.93,6.51,9713.46,5048.37,1,1,4183.55,0.0,0
47,male,51076.34,5.53,2976.38,car,10167.22,7.34,7225.48,1622.73,0,8,3558.24,0.0,0
74,female,70334.67,2.62,8052.79,other,28688.8,6.13,12734.01,2030.98,0,5,879.55,265.97,0
43,male,46630.53,1.44,13131.36,medical,7039.89,16.98,12138.49,6508.13,0,7,3435.33,0.0,0
28,female,56590.9,15.11,500.0,car,8105.51,6.32,18142.01,3272.67,0,6,762.2,10374.47,0
52,male,8096.9,0.72,13894.61,furniture,1001.65,1.28,3849.71,1786.74,0,4,3372.09,4039.89,1
65,male,44123.07,2.48,27223.26,electronics,10446.93,5.01,8643.18,5788.43,1,8,3413.88,7462.13,1
52,male,29821.86,1.14,8372.49,car,5087.53,1.9,10927.74,2208.42,1,6,9113.14,6805.18,0
48,female,23061.36,6.46,14078.46,other,5098.83,4.9,3713.3,1000.33,0,7,991.21,2759.36,0
56,male,29193.26,8.61,20199.37,furniture,2466.76,1.46,11254.04,2112.81,1,8,1576.19,9928.79,1
68,male,38985.78,1.73,10688.37,furniture,9711.48,6.08,4075.43,2409.28,0,8,58.31,6712.89,0
22,female,61486.25,2.02,7352.32,electronics,13350.05,2.7,22280.65,8451.39,1,4,-1098.47,2089.6,0
73,male,21124.93,0.9,500.0,other,3800.08,8.17,3491.68,862.53,0,9,630.62,0.0,1
68,male,45551.37,3.06,17127.93,furniture,5068.98,4.25,7840.75,4584.12,1,3,3995.3,7123.95,1
72,male,36284.95,3.08,11094.65,electronics,11426.5,1.57,11740.47,3957.74,1,11,4212.38,0.0,1
46,male,39101.88,1.69,3898.53,business,9562.24,3.28,9781.91,1759.18,0,9,2887.04,6281.7,1
66,female,63049.64,6.61,13012.77,furniture,12210.32,6.36,18191.21,5331.8,1,7,1112.71,4473.33,0
22,female,54686.08,3.84,7330.56,car,2959.67,1.93,12225.38,3979.68,0,2,519.88,0.0,0
41,male,69073.17,4.02,7772.59,car,12821.09,0.63,33250.91,3476.96,2,10,-750.49,5550.38,1
68,female,42218.9,1.34,16850.33,furniture,7982.98,11.61,9130.36,663.18,1,7,329.34,5147.92,1
33,male,32473.03,8.68,1292.94,electronics,3541.78,2.04,10288.07,5743.66,1,9,-1885.38,5169.69,0
61,male,40970.54,14.26,20378.52,other,4871.83,5.37,18098.42,2848.07,1,1,6073.57,4881.98,0
36,female,49364.94,3.02,818.51,other,13152.62,2.87,18051.39,9142.78,2,4,7511.45,85.67,0
51,male,48178.32,4.27,6698.39,education,7705.88,1.81,11038.17,4992.85,0,4,-3807.59,7549.65,0
55,male,25481.01,0.89,27383.57,other,2062.85,12.64,8178.76,5361.11,1,9,2867.79,0.0,0
68,female,46628.82,6.39,21018.84,car,7078.05,27.24,6210.79,2383.54,1,6,2818.08,0.0,1
37,female,49108.11,3.54,12780.83,education,3006.18,1.61,15629.86,5022.26,3,2,2626.43,8047.8,0
62,female,90314.53,1.96,4475.76,education,12656.88,7.21,24615.73,6695.5,1,7,221.77,9618.58,0
42,female,78783.2,3.68,7765.82,car,35564.43,4.26,31763.3,7495.0,1,2,5067.54,7637.19,1
40,female,29641.62,3.74,12586.2,education,5114.53,15.27,13017.45,3522.97,1,5,3231.43,2756.83,0
22,male,39827.1,0.33,12300.19,education,8532.54,5.4,7162.77,3056.77,0,11,5102.37,0.0,1
22,male,18658.04,10.53,11273.03,medical,3146.72,0.95,2474.32,1264.12,0,5,-212.54,12890.14,0
61,male,34367.27,3.25,11753.34,electronics,2393.66,15.02,8805.68,751.26,2,5,-2149.55,0.0,0
23,male,50680.89,2.81,10285.0,education,8388.0,25.19,15896.58,7257.97,1,1,3304.72,7516.37,1
24,male,66705.37,1.06,500.0,furniture,10130.03,6.47,16724.42,4126.52,0,6,-888.83,16661.42,1
28,female,31876.49,3.3,7867.91,education,9973.04,1.06,11202.18,7841.88,0,11,5163.8,4896.8,1
37,male,33225.36,0.78,19316.99,car,3929.86,14.52,10042.72,3911.98,1,11,-4379.86,5747.4,0
27,female,8000.0,2.18,1053.33,education,2243.05,3.23,3797.2,416.19,0,11,594.38,6275.93,0
51,male,42072.01,3.95,10483.56,electronics,4161.57,1.87,11096.76,5161.65,3,4,152.23,5189.0,1
64,female,25876.54,8.03,5441.97,furniture,5376.3,7.11,3441.52,415.0,2,1,1002.87,18103.68,0
48,male,35470.09,0.09,12890.8,electronics,2294.32,19.96,7830.87,1436.22,1,3,2783.3,0.0,0
55,male,29216.51,1.54,8890.93,other,6451.15,10.12,10002.49,3362.86,2,3,3188.71,0.0,1
68,male,43303.27,0.82,23819.15,business,4294.11,9.63,8765.02,1824.07,2,1,3919.21,2034.99,1
68,female,13360.89,12.12,16052.67,medical,510.74,0.9,2773.66,1376.34,0,8,4264.96,14444.99,0
55,female,18593.19,1.21,1505.57,electronics,1666.76,10.68,4384.81,1433.45,3,6,1485.42,538.74,1
21,male,83326.45,1.59,17369.82,electronics,17146.81,8.26,33201.98,6771.01,1,8,8326.11,6581.79,0
62,male,21826.39,3.25,5802.79,car,3726.95,5.22,10390.53,4279.21,1,3,6161.27,10426.05,0
61,female,25257.86,0.76,7384.03,business,1081.13,4.97,6065.69,1010.39,0,8,1064.04,8673.9,0
35,male,78064.44,2.51,14510.55,car,15821.73,0.25,13910.71,5825.83,2,1,1589.38,10108.44,1
27,male,97291.21,17.37,8066.02,other,15341.39,0.57,26098.83,917.14,1,8,1000.86,12507.92,1
25,male,23911.8,0.58,19142.85,business,2224.79,6.9,5756.43,423.98,0,9,3089.9,5849.39,0
